round_number,name,user_id,time_sec,X,Y,Z,is_alive,last_place_name,round_winner_team_id
1,Alkaren,76561199079856901,0.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,1.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,2.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,3.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,4.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,5.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,6.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,7.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,8.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,9.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,10.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,11.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,12.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,13.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,14.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,15.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,16.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,17.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,18.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,19.0,-1015.0,-808.0,116.08262,True,TSpawn,T
1,Alkaren,76561199079856901,20.0,-1092.6223,-790.5588,117.54518,True,TSpawn,T
1,Alkaren,76561199079856901,21.0,-1280.0986,-639.29175,126.97083,True,TSpawn,T
1,Alkaren,76561199079856901,22.0,-1393.2335,-416.66602,128.87958,True,TSpawn,T
1,Alkaren,76561199079856901,23.0,-1479.1244,-181.96814,168.07812,True,TSpawn,T
1,Alkaren,76561199079856901,24.0,-1534.3182,56.506073,5.086067,True,OutsideTunnel,T
1,Alkaren,76561199079856901,25.0,-1579.6387,286.02335,1.974715,True,OutsideTunnel,T
1,Alkaren,76561199079856901,26.0,-1621.7445,532.4022,34.03125,True,OutsideTunnel,T
1,Alkaren,76561199079856901,27.0,-1660.3694,739.7685,31.297995,True,UpperTunnel,T
1,Alkaren,76561199079856901,28.0,-1690.4839,862.7166,32.367947,True,UpperTunnel,T
